Institution,Bachelor Tuition,Master Tuition
Ben-Gurion University,11653,14000
Tel Aviv University,11653,14000
University of Haifa,11653,14000
The Hebrew University of Jerusalem,11653,14000
College of Management Academic Studies (COLMAN),37000,40000
Ariel University,11653,14000
Achva Academic College,11653,14000
Reichman University (IDC Herzliya),49700,53000
Peres Academic Center,24000,28000
Tel Aviv-Yaffo Academic College,11653,14000
Ashkelon Academic College,11653,14000
Ono Academic College,28000,32000
HIT - Holon Institute of Technology,11653,14000
Tel-Hai Academic College,11653,14000
Bar-Ilan University,11653,14000
Ruppin Academic Center,11653,14000
WIZO Haifa Academy of Design and Education,11653,14000
